name_category,img_category,url_category,title
Jelly, marshmallow sticks,578acdfcac651031975ac47c4794f6e0.jpg,https://en.sas.am/categories/Jelly_marshmallow_sticks_2812/,False
Cakes, swiss rolls,77cb5576aa06814dd04920b789baa2e7.jpg,https://en.sas.am/categories/Cakes_swiss_rolls_2813/,False
Waffles,2a528b3721bafb6b6377ed97ea7c6df3.jpg,https://en.sas.am/categories/Waffles_2815/,False
Eastern sweets,e32923de21ff7eb2ad813acd3f227fb1.jpg,https://en.sas.am/categories/Eastern_sweets__1193/,False
Cake, croissant,ac726433624e95184158712bf6f52a8e.jpg,https://en.sas.am/categories/Cake_croissant__2824/,False
Dessert, biscuit,10bcf07993c8fc7acf038c487a7f9cbf.jpg,https://en.sas.am/categories/Dessert_biscuit_3029/,False
Cookies, spice cakes,1bf8d9fa53c256a56cbcdbfebbf09dc6.jpg,https://en.sas.am/categories/Cookies_spice_cakes_2814/,False
Crackers, corn sticks,9f7dc6313aae353d56002f751ed811d1.jpg,https://en.sas.am/categories/Crackers_corn_sticks_3030/,False
Other,9abc66809a67e661c21aba18994d634e.jpg,https://en.sas.am/categories/Other_2817/,False
Chips, seeds, flakes,8a4f7f73d40e2e0329ccc4b2884058f6.jpg,https://en.sas.am/categories/Chips_seeds_flakes_1178/,True
Chips,93c58da4f0c25660114dd64174ba85ed.jpg,https://en.sas.am/categories/Chips_1208/,False
Sunflower seeds,651f62d76fda52f852d2b6dad3590cc9.jpg,https://en.sas.am/categories/Sunflower_seeds_1209/,False
Corn products,86998bd1ba9dd4d7eb92cd12e83b58c0.jpg,https://en.sas.am/categories/Corn_products__1211/,False
Other,6221f8ae7cc8dbfd2e5b6f0e0127a7ea.jpg,https://en.sas.am/categories/Other__3061/,False
Chocolates, cream,278ee27f91b0ef26fb9408595ee5ad33.jpg,https://en.sas.am/categories/Chocolates_cream__2810/,True
Chocolate collection,6ab8f14fc015cf420446c593fb10e2c9.jpg,https://en.sas.am/categories/Chocolate_collection_1170/,False
Chocolate sold by weight,87743996ed4ef3a986a0a7c39d76dd65.jpg,https://en.sas.am/categories/Chocolate_sold_by_weight__3031/,False
Chocolate bar,8462fab41cc47c0d2afb1dcf2a86fa7b.jpg,https://en.sas.am/categories/Chocolate_bar__2825/,False
