name_category,img_category,url_category
Պատրաստի նախաճաշեր, փաթիլներ,a45417060174a9eb6e1b0abd140b1dab.jpg,https://www.sas.am/categories/%D5%8A%D5%A1%D5%BF%D6%80%D5%A1%D5%BD%D5%BF%D5%AB_%D5%B6%D5%A1%D5%AD%D5%A1%D5%B3%D5%A1%D5%B7%D5%A5%D6%80_%D6%83%D5%A1%D5%A9%D5%AB%D5%AC%D5%B6%D5%A5%D6%80_2757/
Նախաճաշի փաթիլներ,88c1b9ded2cc1a1168fdb91cddf17c75.jpg,https://www.sas.am/categories/%D5%86%D5%A1%D5%AD%D5%A1%D5%B3%D5%A1%D5%B7%D5%AB_%D6%83%D5%A1%D5%A9%D5%AB%D5%AC%D5%B6%D5%A5%D6%80__3039/
Շիլա, մյուսլի,0d7d2848f3fdb162edc85701824abad2.jpg,https://www.sas.am/categories/%D5%87%D5%AB%D5%AC%D5%A1_%D5%B4%D5%B5%D5%B8%D6%82%D5%BD%D5%AC%D5%AB_2773/
Փաթիլներ, հերկուլես,46f690ecafb2f8bfffd238a57f0e4b73.jpg,https://www.sas.am/categories/%D5%93%D5%A1%D5%A9%D5%AB%D5%AC%D5%B6%D5%A5%D6%80_%D5%B0%D5%A5%D6%80%D5%AF%D5%B8%D6%82%D5%AC%D5%A5%D5%BD__2771/
Այլ,c6cf82d19b64aea2d03b00b11672a54d.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_3040/
Շաքարավազ, աղ, սոդա,1093ec1e4735463c3acc79ea51907bcb.jpg,https://www.sas.am/categories/%D5%87%D5%A1%D6%84%D5%A1%D6%80%D5%A1%D5%BE%D5%A1%D5%A6_%D5%A1%D5%B2_%D5%BD%D5%B8%D5%A4%D5%A1_1087/
Շաքարավազ,93a9a6f2a61837193871e0c20d380b8e.jpg,https://www.sas.am/categories/%D5%87%D5%A1%D6%84%D5%A1%D6%80%D5%A1%D5%BE%D5%A1%D5%A6_1106/
Աղ,5ab6d17698d880c0b980f7ceef61b3c7.jpg,https://www.sas.am/categories/%D4%B1%D5%B2_1107/
Սոդա,54d1c871b4ef4e8b31293babf9129359.jpg,https://www.sas.am/categories/%D5%8D%D5%B8%D5%A4%D5%A1_1108/
Քացախ,ba3d2b75c5b9131964a6ac5ce4746a7c.jpg,https://www.sas.am/categories/%D5%94%D5%A1%D6%81%D5%A1%D5%AD_1103/
Համեմունքներ,458945623a559f9bc7c8c1517eedf8a7.jpg,https://www.sas.am/categories/%D5%80%D5%A1%D5%B4%D5%A5%D5%B4%D5%B8%D6%82%D5%B6%D6%84%D5%B6%D5%A5%D6%80_3041/
Քաղցրավենիք,ca065fd606fae5fb3c06875cf04c4e04.png,https://www.sas.am/categories/%D5%94%D5%A1%D5%B2%D6%81%D6%80%D5%A1%D5%BE%D5%A5%D5%B6%D5%AB%D6%84_3103/
Ընկուզեղեն,d062a604fba606c9e0dcece05380cbe4.jpg,https://www.sas.am/categories/%D4%B8%D5%B6%D5%AF%D5%B8%D6%82%D5%A6%D5%A5%D5%B2%D5%A5%D5%B6_2819/
Ընկույզ,e2552fe557ad50a1cdb0c97a86ed16c7.jpg,https://www.sas.am/categories/%D4%B8%D5%B6%D5%AF%D5%B8%D6%82%D5%B5%D5%A6__2831/
Պնդուկ,5e7291a44ab1a7871dc827039065bfba.jpg,https://www.sas.am/categories/%D5%8A%D5%B6%D5%A4%D5%B8%D6%82%D5%AF__2832/
Հնդկական ընկույզ,67bdeea8e666f4bf2da47331d63c5e79.jpg,https://www.sas.am/categories/%D5%80%D5%B6%D5%A4%D5%AF%D5%A1%D5%AF%D5%A1%D5%B6_%D5%A8%D5%B6%D5%AF%D5%B8%D6%82%D5%B5%D5%A6__2833/
Նուշ,009687a1a3290859ed64f1f3509dac78.jpg,https://www.sas.am/categories/%D5%86%D5%B8%D6%82%D5%B7_2834/
Պիստակ,19b49ef89dbb7a79b4d484d343caf036.jpg,https://www.sas.am/categories/%D5%8A%D5%AB%D5%BD%D5%BF%D5%A1%D5%AF_5577/
Ասորտի,5f3c832dfaa237aface0f8dee85c3e58.jpg,https://www.sas.am/categories/%D4%B1%D5%BD%D5%B8%D6%80%D5%BF%D5%AB_2835/
Գետնանուշ,0bb52591a7692e41b8ab97a49487604a.jpg,https://www.sas.am/categories/%D4%B3%D5%A5%D5%BF%D5%B6%D5%A1%D5%B6%D5%B8%D6%82%D5%B7__3033/
Այլ,0f575fd1cb15d0642bb26dd1bf7351b0.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_2836/
Մեղր,8bece1e1664cf24bce5d9cb4c79ad938.jpg,https://www.sas.am/categories/%D5%84%D5%A5%D5%B2%D6%80__3063/
Հայկական,03e14fd35de6b1f67b41f2cba2bd1d08.jpg,https://www.sas.am/categories/%D5%80%D5%A1%D5%B5%D5%AF%D5%A1%D5%AF%D5%A1%D5%B6_2843/
Չրեր,ef2cc33d8599e50563ae4765c8fcb248.jpg,https://www.sas.am/categories/%D5%89%D6%80%D5%A5%D6%80_2820/
Չամիչ,e3a311e902e071e0cc63033f64a0c0b5.jpg,https://www.sas.am/categories/%D5%89%D5%A1%D5%B4%D5%AB%D5%B9_2837/
Սալորաչիր,d6ff3f77e5a79850b8999626eb0907c9.jpg,https://www.sas.am/categories/%D5%8D%D5%A1%D5%AC%D5%B8%D6%80%D5%A1%D5%B9%D5%AB%D6%80__2838/
Ծիրանաչիր,c7b300eca5b0a87886d9ff9c63c18b16.jpg,https://www.sas.am/categories/%D4%BE%D5%AB%D6%80%D5%A1%D5%B6%D5%A1%D5%B9%D5%AB%D6%80__2839/
Արևադարձային մրգերի,a54e27dd0cb71a9d3545ad54b6d4cb2b.jpg,https://www.sas.am/categories/%D4%B1%D6%80%D6%87%D5%A1%D5%A4%D5%A1%D6%80%D5%B1%D5%A1%D5%B5%D5%AB%D5%B6_%D5%B4%D6%80%D5%A3%D5%A5%D6%80%D5%AB__2840/
Ասորտի,ad08b6c4a51e3fd5ada92adf8483c0ad.jpg,https://www.sas.am/categories/%D4%B1%D5%BD%D5%B8%D6%80%D5%BF%D5%AB_2841/
Քաղցր սուջուխ,75da4b2e8d077e85caf17a24158ca26e.jpg,https://www.sas.am/categories/%D5%94%D5%A1%D5%B2%D6%81%D6%80_%D5%BD%D5%B8%D6%82%D5%BB%D5%B8%D6%82%D5%AD_2821/
Թթու լավաշ,c953369e1c9eb5399eea8d1262f342aa.jpg,https://www.sas.am/categories/%D4%B9%D5%A9%D5%B8%D6%82_%D5%AC%D5%A1%D5%BE%D5%A1%D5%B7_2822/
Այլ,ac905ae2b2db74124050e7a18237f012.jpg,https://www.sas.am/categories/%D4%B1%D5%B5%D5%AC_3032/
Հրուշակեղեն,2086e5812f4c42a10b093555323d0bbe.jpg,https://www.sas.am/categories/%D5%80%D6%80%D5%B8%D6%82%D5%B7%D5%A1%D5%AF%D5%A5%D5%B2%D5%A5%D5%B6_1049/
Մարմելադ,d7dcf3dcedd864611457eef620fd184a.jpg,https://www.sas.am/categories/%D5%84%D5%A1%D6%80%D5%B4%D5%A5%D5%AC%D5%A1%D5%A4_1192/
Դոնդող, պաստիլա,578acdfcac651031975ac47c4794f6e0.jpg,https://www.sas.am/categories/%D4%B4%D5%B8%D5%B6%D5%A4%D5%B8%D5%B2_%D5%BA%D5%A1%D5%BD%D5%BF%D5%AB%D5%AC%D5%A1_2812/
